key,español,wayuunaiki_provisional,estado,correccion_local,zona_o_comunidad,observaciones
roadAffected,Camino afectado,Wopu uwomuyusü,PENDIENTE DE REVISIÓN LOCAL,,,
vegetationAffected,Vegetación afectada,Wuna'apü uwomuyusü,PENDIENTE DE REVISIÓN LOCAL,,,
noChange,Sin cambio aparente,Nnojotsü ee'irataa ja'yaa,PENDIENTE DE REVISIÓN LOCAL,,,
other,Otro,Wane kasa,PENDIENTE DE REVISIÓN LOCAL,,,
communityNote,Nota de la comunidad,Ashajaa wayuu,PENDIENTE DE REVISIÓN LOCAL,,,
notePlaceholder,Escribe con tus propias palabras,Püshaja süka pünüiki,PENDIENTE DE REVISIÓN LOCAL,,,
measurement,Medición opcional,Ayaawataa süpüla aneekaa,PENDIENTE DE REVISIÓN LOCAL,,,
distance,Distancia,Wattaa / distancia,PENDIENTE DE REVISIÓN LOCAL,,,
unit,Unidad,Unidad,PENDIENTE DE REVISIÓN LOCAL,,,
method,Método,Akuaippa ayaawataa,PENDIENTE DE REVISIÓN LOCAL,,,
select,Seleccionar,Aneekaa,PENDIENTE DE REVISIÓN LOCAL,,,
tape,Cinta métrica,Sinta ayaawataa,PENDIENTE DE REVISIÓN LOCAL,,,
steps,Pasos,Ashajaa süka asipala / pasos,PENDIENTE DE REVISIÓN LOCAL,,,
estimate,Estimación,Ayaawataa süka aa'in,PENDIENTE DE REVISIÓN LOCAL,,,
measureTarget,Línea medida,Wopu ayaawatünaka,PENDIENTE DE REVISIÓN LOCAL,,,
erosionEdge,Borde de erosión,Palaapülee mojusü / borde erosión,PENDIENTE DE REVISIÓN LOCAL,,,
vegetationLine,Línea de vegetación estable,Wuna'apü ichee,PENDIENTE DE REVISIÓN LOCAL,,,
waterline,Borde del agua,Palaapülee wüin,PENDIENTE DE REVISIÓN LOCAL,,,
highWaterMark,Marca visible de agua alta,Ayaawase wüin yaletü,PENDIENTE DE REVISIÓN LOCAL,,,
reference,Referencia fija,Ayaawase ichee,PENDIENTE DE REVISIÓN LOCAL,,,
referencePlaceholder,"Estaca A, poste, vivienda, marca","Estaca A, poste, miichi, ayaawase",PENDIENTE DE REVISIÓN LOCAL,,,
seaState,Estado observado del mar,Akuaippa palaa e'rajünaka,PENDIENTE DE REVISIÓN LOCAL,,,
waterLevel,Nivel observado,Yaletaa wüin e'rajünaka,PENDIENTE DE REVISIÓN LOCAL,,,
waveState,Oleaje,A'wanajawaa palaa / oleaje,PENDIENTE DE REVISIÓN LOCAL,,,
dontKnow,No sé,Nnojotsü tatüjain,PENDIENTE DE REVISIÓN LOCAL,,,
low,Bajo,Mmotso,PENDIENTE DE REVISIÓN LOCAL,,,
normal,Normal,Anaa,PENDIENTE DE REVISIÓN LOCAL,,,
high,Alto,Yaletaa,PENDIENTE DE REVISIÓN LOCAL,,,
veryHigh,Muy alto,Miyo'u yaletaa,PENDIENTE DE REVISIÓN LOCAL,,,
medium,Medio,Süchikijee,PENDIENTE DE REVISIÓN LOCAL,,,
strong,Fuerte,Katsüin,PENDIENTE DE REVISIÓN LOCAL,,,
followup,Seguimiento del punto,Ayataa apülee,PENDIENTE DE REVISIÓN LOCAL,,,
pointType,Tipo de registro,Akuaippa anaajaa,PENDIENTE DE REVISIÓN LOCAL,,,
independent,Observación independiente,E'rajawaa wane'ewaika,PENDIENTE DE REVISIÓN LOCAL,,,
newPermanent,Crear nuevo punto permanente,Aainjaa apülee ichee jeketü,PENDIENTE DE REVISIÓN LOCAL,,,
permanentHelp,Los puntos permanentes permiten regresar al mismo lugar y construir una historia de observaciones.,Apülee ichee akaalijüsü eitawaa yaa waneepia otta akotchajaa achiki e'rajawaa.,PENDIENTE DE REVISIÓN LOCAL,,,
evidence,Evidencias,Ayaawaseirua,PENDIENTE DE REVISIÓN LOCAL,,,
photos,Fotos,Ayaakua,PENDIENTE DE REVISIÓN LOCAL,,,
videos,Vídeos,Videoirua,PENDIENTE DE REVISIÓN LOCAL,,,
recordAudio,Grabar audio,Anaajaa audio,PENDIENTE DE REVISIÓN LOCAL,,,
audioReady,Listo para grabar,Anaasü süpüla audio,PENDIENTE DE REVISIÓN LOCAL,,,
stop,Detener,Ekeraajaa,PENDIENTE DE REVISIÓN LOCAL,,,
removeAudio,Eliminar audio,Aakataa audio,PENDIENTE DE REVISIÓN LOCAL,,,
photoOverlayHelp,"Las fotografías guardadas generan una copia documentada con fecha, código, posición, precisión, altitud y dirección cuando esos datos están disponibles.","Ayaakua anaajünaka ee'iyatüsü wane copia sümaa akalia, ayaawase, apülee, pansawaa GPS, yaletaa mma otta dirección müleka eesü.",PENDIENTE DE REVISIÓN LOCAL,,,
saveObservation,GUARDAR OBSERVACIÓN,ANAAJAA E'RAJAWAA,PENDIENTE DE REVISIÓN LOCAL,,,
notebook,Cuaderno,Karalouta,PENDIENTE DE REVISIÓN LOCAL,,,
notebookIntro,Consulta las observaciones guardadas en este dispositivo.,Pü'raaja na e'rajawaa anaajünakana sulu'u celular tüü.,PENDIENTE DE REVISIÓN LOCAL,,,
records,registros,anaajünaka,PENDIENTE DE REVISIÓN LOCAL,,,
search,Buscar,Achajawaa,PENDIENTE DE REVISIÓN LOCAL,,,
searchPlaceholder,Código o nota,Ayaawase je ashajaa,PENDIENTE DE REVISIÓN LOCAL,,,
filterCategory,Tipo,Akuaippa,PENDIENTE DE REVISIÓN LOCAL,,,
all,Todos,Apüshua'a,PENDIENTE DE REVISIÓN LOCAL,,,
withMedia,Con multimedia,Sümaa multimedia,PENDIENTE DE REVISIÓN LOCAL,,,
onlyPermanent,Puntos permanentes,Apülee icheeirua,PENDIENTE DE REVISIÓN LOCAL,,,
export,Exportar,Ee'iyataa / exportar,PENDIENTE DE REVISIÓN LOCAL,,,
exportIntro,Prepara una copia de los registros para conservarlos o compartirlos.,Paainja wane copia na anaajünakana süpüla anaajaa je ajütaa.,PENDIENTE DE REVISIÓN LOCAL,,,
fullData,Datos completos,Kasachiki apüshua'a,PENDIENTE DE REVISIÓN LOCAL,,,
tableData,Tabla de registros,Tabla anaajünaka,PENDIENTE DE REVISIÓN LOCAL,,,
mapData,Puntos para SIG,Apülee süpüla SIG,PENDIENTE DE REVISIÓN LOCAL,,,
evidencePackage,Datos y evidencias,Kasachiki otta ayaawaseirua,PENDIENTE DE REVISIÓN LOCAL,,,
sharePackage,Compartir paquete,Ajütaa paquete,PENDIENTE DE REVISIÓN LOCAL,,,
shareHelp,"En dispositivos compatibles se abrirá el menú para compartir. Si no está disponible, se descargará el paquete para que puedas adjuntarlo al correo.","Müleka ainkaa celular, ee'iyatünü menu süpüla ajütaa. Müleka nnojotsü, paquete ee'iyalajünü süpüla correo.",PENDIENTE DE REVISIÓN LOCAL,,,
privacyPrinciple,Los registros permanecen bajo control de la comunidad y solo salen del dispositivo cuando decides exportarlos o compartirlos.,Na anaajünakana eejatü nain wayuukana. Ajütünü ne'e müleka wayuu aneeküin exportar je ajütaa.,PENDIENTE DE REVISIÓN LOCAL,,,
communityExchangeTitle,Compartir entre personas y comunidades,Ajütaa kasachiki akotchirawaa wayuu,PENDIENTE DE REVISIÓN LOCAL,,,
communityExchangeIntro,"Elige qué registros y qué contenidos quieres compartir. COSTA VIVA prepara el paquete y el celular te permite escoger WhatsApp, correo, Quick Share, Bluetooth u otra aplicación disponible.","Pünee kasa anaajünaka otta kasa ajütünü. COSTA VIVA aainjüsü paquete, celular aneeküshi WhatsApp, correo, Quick Share, Bluetooth je wane aplicación.",PENDIENTE DE REVISIÓN LOCAL,,,
shareRecords,Compartir registros,Ajütaa anaajünaka,PENDIENTE DE REVISIÓN LOCAL,,,
importPackage,Importar paquete COSTA VIVA,Ekerolaa paquete COSTA VIVA,PENDIENTE DE REVISIÓN LOCAL,,,
shareHelpCommunity,COSTA VIVA no envía los registros a un servidor propio. El medio de envío depende de las aplicaciones instaladas en el dispositivo.,COSTA VIVA nnojotsü ajütüin kasachiki amüin servidor. Celularka otta aplicación aneeküshi wopu ajütaa.,PENDIENTE DE REVISIÓN LOCAL,,,
onlyReceived,Registros recibidos,Anaajünaka antünaka,PENDIENTE DE REVISIÓN LOCAL,,,
received,Recibido,Antüsü,PENDIENTE DE REVISIÓN LOCAL,,,
receivedFromNotebook,Recibido · cuaderno {value},Antüsü · karalouta {value},PENDIENTE DE REVISIÓN LOCAL,,,
shareModalTitle,Compartir registros,Ajütaa anaajünaka,PENDIENTE DE REVISIÓN LOCAL,,,
shareModalIntro,"Tú decides qué sale de este dispositivo, con quién y con qué contenido.","Pia aneeküin kasa ojuitaka celular tüü, kachon otta kasa sümaa.",PENDIENTE DE REVISIÓN LOCAL,,,
chooseRecordsTitle,Elige los registros,Pünee na anaajünakana,PENDIENTE DE REVISIÓN LOCAL,,,
selectAll,Seleccionar todos,Aneekaa apüshua'a,PENDIENTE DE REVISIÓN LOCAL,,,
selectNone,Ninguno,Nnojotsü wane,PENDIENTE DE REVISIÓN LOCAL,,,
chooseContentTitle,Elige qué compartir,Pünee kasa ajütünü,PENDIENTE DE REVISIÓN LOCAL,,,
basicRecordData,Datos básicos del registro,Kasachiki palajatü anaajünaka,PENDIENTE DE REVISIÓN LOCAL,,,
shareMeasurements,Mediciones,Ayaawataairua,PENDIENTE DE REVISIÓN LOCAL,,,
shareNotes,Notas,Ashajaa,PENDIENTE DE REVISIÓN LOCAL,,,
shareCoordinates,Coordenadas y sensores,Coordenada otta sensorirua,PENDIENTE DE REVISIÓN LOCAL,,,
sharePhotos,Fotografías,Ayaakuairua,PENDIENTE DE REVISIÓN LOCAL,,,
shareVideos,Vídeos,Videoirua,PENDIENTE DE REVISIÓN LOCAL,,,
shareAudios,Audios,Audioirua,PENDIENTE DE REVISIÓN LOCAL,,,
selectAllContent,Incluir todo,Ekerolaa apüshua'a,PENDIENTE DE REVISIÓN LOCAL,,,
clearOptionalContent,Quitar opcionales,Aakataa kasa süpüla aneekaa,PENDIENTE DE REVISIÓN LOCAL,,,
shareSensitiveWarning,Las coordenadas pueden revelar lugares sensibles. Compártelas solo cuando sea necesario y exista una decisión consciente.,Coordenada ee'iyatasü apülee kapülain. Püjüta ne'e müleka kapülain otta eesü aa'in aneekünaka.,PENDIENTE DE REVISIÓN LOCAL,,,
recipientTitle,¿Con quién vas a compartir?,¿Kasa wayuu amüin püjütüin?,PENDIENTE DE REVISIÓN LOCAL,,,
recipientMyCommunity,Mi comunidad,Tapüshii / takotchirawaa,PENDIENTE DE REVISIÓN LOCAL,,,
recipientOtherCommunity,Otra comunidad,Wane akotchirawaa,PENDIENTE DE REVISIÓN LOCAL,,,
recipientResearch,Investigador o universidad,Atüjülii / koleejia miyo'u,PENDIENTE DE REVISIÓN LOCAL,,,
recipientPublic,Institución pública,Akotchirawaa aluwatawaa,PENDIENTE DE REVISIÓN LOCAL,,,
recipientOrganization,Organización social,Organización wayuu,PENDIENTE DE REVISIÓN LOCAL,,,
recipientOther,Otra persona,Wane wayuu,PENDIENTE DE REVISIÓN LOCAL,,,
purposeOptional,Finalidad opcional,"Kasa süpüla, müleka pünee",PENDIENTE DE REVISIÓN LOCAL,,,
purposePlaceholder,Ejemplo seguimiento comunitario o investigación acordada,Ayaawajaa akotchirawaa je atüjalaa anain,PENDIENTE DE REVISIÓN LOCAL,,,
shareControlReminder,COSTA VIVA prepara el archivo. No lo sube a un servidor propio y no recibe una copia.,COSTA VIVA aainjüsü archivo. Nnojotsü ojuittüin amüin servidor otta nnojotsü anaajüin copia.,PENDIENTE DE REVISIÓN LOCAL,,,
prepareAndShare,PREPARAR Y COMPARTIR,A'AINJAA OTTA AJÜTAA,PENDIENTE DE REVISIÓN LOCAL,,,
noShareRecordsSelected,Selecciona al menos un registro.,Pünee wane anaajünaka.,PENDIENTE DE REVISIÓN LOCAL,,,
preparingShare,Preparando paquete,Aainjünü paquete,PENDIENTE DE REVISIÓN LOCAL,,,
sharedPackageReady,Paquete preparado para compartir.,Anaasü paquete süpüla ajütaa.,PENDIENTE DE REVISIÓN LOCAL,,,
importTitle,Importar registros recibidos,Ekerolaa anaajünaka antünaka,PENDIENTE DE REVISIÓN LOCAL,,,
importSeparationHelp,Los registros recibidos se identifican como tales y conservan información de procedencia. No se presentan como observaciones creadas por este teléfono.,Anaajünaka antünaka ayaawatünü müsia. Anaajüsü achiki jalajeerü. Nnojotsü e'iyatünü müsia e'rajawaa aainjünaka süka celular tüü.,PENDIENTE DE REVISIÓN LOCAL,,,
confirmImport,IMPORTAR,EKEROLAA,PENDIENTE DE REVISIÓN LOCAL,,,
cancel,Cancelar,Aakataa,PENDIENTE DE REVISIÓN LOCAL,,,
importInvalid,Este archivo no es un paquete COSTA VIVA compatible.,Archivo tüü nnojotsü paquete COSTA VIVA anain.,PENDIENTE DE REVISIÓN LOCAL,,,
importReading,Leyendo paquete,Aashaje'eraa paquete,PENDIENTE DE REVISIÓN LOCAL,,,
importSummaryText,{count} registros · creado {date},{count} anaajünaka · aainjüsü {date},PENDIENTE DE REVISIÓN LOCAL,,,
importRecipientText,Finalidad declarada al compartir: {value},Kasa süpüla ajütaa: {value},PENDIENTE DE REVISIÓN LOCAL,,,
importNoPurpose,Sin finalidad declarada,Nnojotsü kasa süpüla ashajünain,PENDIENTE DE REVISIÓN LOCAL,,,
importComplete,Importación terminada. {added} añadidos y {skipped} ya existentes.,Ekeraasü ekerolaa. {added} jeketü otta {skipped} eejatüirua.,PENDIENTE DE REVISIÓN LOCAL,,,
importFailed,No se pudo importar el paquete.,Nnojotsü ainkain ekerolaa paquete.,PENDIENTE DE REVISIÓN LOCAL,,,
sourceNotebook,Cuaderno de origen,Karalouta jalajeerü,PENDIENTE DE REVISIÓN LOCAL,,,
sharingHelpTitle,Compartir sin perder el control,Ajütaa nnojotsü amülouliin control,PENDIENTE DE REVISIÓN LOCAL,,,
sharingHelpIntro,COSTA VIVA permite preparar un intercambio entre comunidades y personas sin enviar los registros a un servidor propio.,COSTA VIVA akaalijüsü ajütaa akotchirawaa wayuu nnojotsü ojuittüin anaajünaka amüin servidor.,PENDIENTE DE REVISIÓN LOCAL,,,
shareWithWhomTitle,Con quién puedes compartir,Kachon püjütüin,PENDIENTE DE REVISIÓN LOCAL,,,
shareWithWhomText,"Puedes compartir con tu comunidad, otra comunidad, un investigador, una institución u otra persona.","Püjüta amüin püshii, wane akotchirawaa, atüjülii, akotchirawaa aluwatawaa je wane wayuu.",PENDIENTE DE REVISIÓN LOCAL,,,
shareWhatTitle,Qué puedes incluir,Kasa pükerolüin,PENDIENTE DE REVISIÓN LOCAL,,,
shareWhatText,"Antes de enviar eliges los registros y también si incluyes coordenadas, notas, mediciones, fotografías, vídeos o audios.","Palajana ajütaa, pünee anaajünaka otta coordenada, ashajaa, ayaawataa, ayaakua, video je audio.",PENDIENTE DE REVISIÓN LOCAL,,,
sharingHelpText,"Puedes compartir con tu comunidad, otra comunidad, un investigador, una institución u otra persona. Antes de enviar, eliges los registros y también si incluyes coordenadas, notas, mediciones, fotografías, vídeos o audios.","Püjüta amüin püshii je wane wayuu. Palajana ajütaa, pünee anaajünaka otta kasa sümaa.",PENDIENTE DE REVISIÓN LOCAL,,,
shareNotAllTitle,Compartir no significa entregar todo,Ajütaa nnojotsü ayalajaa apüshua'a,PENDIENTE DE REVISIÓN LOCAL,,,
shareNotAllText,"El paquete se prepara en el celular. Después Android, iOS o el navegador muestran las aplicaciones disponibles para enviarlo. COSTA VIVA no decide el destinatario ni recibe una copia.","Paquete aainjünü sulu'u celular. Android, iOS je navegador ee'iyatüsü aplicación süpüla ajütaa. COSTA VIVA nnojotsü aneeküin kachon otta nnojotsü anaajüin copia.",PENDIENTE DE REVISIÓN LOCAL,,,
mediaMetadataTitle,"Atención sobre fotos, vídeos y metadatos","Jalia sümaa ayaakua, video otta metadata",PENDIENTE DE REVISIÓN LOCAL,,,
mediaMetadataCaution,"Atención. Algunos archivos originales de cámara o vídeo pueden contener metadatos creados por el propio dispositivo. Si una localización es sensible, revisa también los archivos multimedia antes de compartirlos.","Jalia. Wane archivo cámara je video eesü metadata aainjünaka süka celular. Müleka apülee kapülain, pü'raaja multimedia palajana ajütaa.",PENDIENTE DE REVISIÓN LOCAL,,,
help,Ayuda,Akaalijia,PENDIENTE DE REVISIÓN LOCAL,,,
helpIntro,Guía breve para usar COSTA VIVA en campo.,Akuaippa jo'uuchon süpüla COSTA VIVA sulu'u mma.,PENDIENTE DE REVISIÓN LOCAL,,,
helpActivateTitle,Activa el modo de observación,Paainja e'rajawaa,PENDIENTE DE REVISIÓN LOCAL,,,
helpActivateText,"Permite que el teléfono compruebe ubicación, orientación, cámara y micrófono. Puedes continuar aunque alguna función no esté disponible.","Celularka e'rajüshi apülee, dirección, cámara otta micrófono. Anaasü ayataa müleka wane nnojotsü eewain.",PENDIENTE DE REVISIÓN LOCAL,,,
helpObserveTitle,Registra lo que observas,Pünaaja tü pi'rakat,PENDIENTE DE REVISIÓN LOCAL,,,
helpObserveText,Describe lo que está ocurriendo sin necesidad de explicar la causa.,Püshaja kasa e'iyalajaka nnojotsü süpüla pümaa süchiki asala.,PENDIENTE DE REVISIÓN LOCAL,,,
helpPhotoTitle,Toma evidencias,Pünaaja ayaawaseirua,PENDIENTE DE REVISIÓN LOCAL,,,
helpPhotoText,"Añade fotografías, vídeo, audio o una medición sencilla. Las fotografías documentadas conservan los datos disponibles del dispositivo.","Pükerola ayaakua, video, audio je ayaawataa jo'uuchon. Ayaakua documentada anaajüsü kasachiki celular.",PENDIENTE DE REVISIÓN LOCAL,,,
helpReturnTitle,Vuelve al mismo punto,Püeitawa wane apülee,PENDIENTE DE REVISIÓN LOCAL,,,
helpReturnText,Los puntos permanentes permiten comparar observaciones realizadas en distintos momentos.,Apülee ichee akaalijüsü asottaa e'rajawaa süchiki akaliairua.,PENDIENTE DE REVISIÓN LOCAL,,,
dataControlHelpTitle,Tus datos y tu decisión,Pünain kasachiki otta püneeküin,PENDIENTE DE REVISIÓN LOCAL,,,
dataControlHelpIntro,"Registrar información no significa entregarla. COSTA VIVA guarda los registros primero en este dispositivo y no los envía automáticamente a investigadores, universidades o instituciones.","Anaajaa kasachiki nnojotsü ajütaa. COSTA VIVA anaajüsü palajana sulu'u celular tüü otta nnojotsü ajütüin amüin atüjülii, koleejia miyo'u je akotchirawaa aluwatawaa.",PENDIENTE DE REVISIÓN LOCAL,,,
whoSeesTitle,¿Quién puede ver mis registros?,¿Kasa wayuu e'rajüin na tanaajünakana?,PENDIENTE DE REVISIÓN LOCAL,,,
whoSeesText,"Mientras no los exportes o compartas, permanecen en el almacenamiento local de este dispositivo. Recuerda que una persona con acceso al teléfono o al perfil del navegador podría acceder a ellos.","Müleka nnojotsü püjütüin je exportar, eejatü sulu'u celular tüü. Wayuu ke'rajüin celular je navegador ainkasü e'rajawaa müsia.",PENDIENTE DE REVISIÓN LOCAL,,,
researcherAccessTitle,¿COSTA VIVA los envía al investigador?,¿COSTA VIVA ajütüsü amüin atüjülii?,PENDIENTE DE REVISIÓN LOCAL,,,
researcherAccessText,"No. El autor de la herramienta, una universidad o cualquier otra organización no recibe automáticamente tus coordenadas, fotografías, vídeos, audios, notas o mediciones.","Nnojotsü. Aainjülii tü herramientakat, koleejia miyo'u je akotchirawaa nnojotsü antirüin coordenada, ayaakua, video, audio, ashajaa je ayaawataa süka ne'e.",PENDIENTE DE REVISIÓN LOCAL,,,
mustShareTitle,¿Tengo que compartirlos?,¿Eesü süpüla tajütaa müsia?,PENDIENTE DE REVISIÓN LOCAL,,,
mustShareText,"No. La comunidad decide si conserva, exporta o comparte los registros. Si alguien solicita utilizarlos, es razonable preguntar para qué se usarán, quién tendrá acceso y qué beneficio o devolución recibirá la comunidad.","Nnojotsü. Akotchirawaa wayuu aneeküsü anaajaa, exportar je ajütaa. Müleka wane achuntüin kasachiki, anaasü asakaa kasa süpüla, kachon e'rajüin otta kasa anaain süpüla wayuukana.",PENDIENTE DE REVISIÓN LOCAL,,,
registerNotCedeTitle,Registrar no significa ceder,Anaajaa nnojotsü ayalajaa,PENDIENTE DE REVISIÓN LOCAL,,,
registerNotCedeText,"COSTA VIVA ayuda a producir y organizar registros. No convierte al desarrollador, al investigador ni a una institución en propietario automático de los datos de la comunidad.","COSTA VIVA akaalijüsü aainjaa otta akumajaa anaajünaka. Nnojotsü aainjüin aainjülii software, atüjülii je akotchirawaa laülaa na kasachiki wayuukana.",PENDIENTE DE REVISIÓN LOCAL,,,
fieldMethodsTitle,Cómo medir con medios sencillos,Ayaawataa süka kasa eejatü,PENDIENTE DE REVISIÓN LOCAL,,,
fieldMethodsIntro,"COSTA VIVA es una herramienta de ciencia popular. Una cinta, dos puntos de referencia y una forma constante de medir pueden producir una serie útil si siempre se repite el mismo procedimiento.","COSTA VIVA wane herramienta atüjalaa wayuu. Wane sinta, piama ayaawase ichee otta wane akuaippa ayaawataa ainkasü aainjaa wane serie anain müleka waneepia ayatünüsü maa aka.",PENDIENTE DE REVISIÓN LOCAL,,,
goldenRuleTitle,Regla principal,Akuaippa miyo'u,PENDIENTE DE REVISIÓN LOCAL,,,
goldenRuleText,"No importa medir muchas cosas. Importa medir siempre la misma cosa, desde la misma referencia, por la misma línea y dejando registrado cómo se hizo.","Nnojotsü kapülain ayaawataa kasa miyo'u. Kapülainsü ayaawataa wane kasa waneepia, süka wane ayaawase, süpüna wane wopu otta ashajaa jamüsü aainjünain.",PENDIENTE DE REVISIÓN LOCAL,,,
stakeMethodTitle,Método 1. Línea fija con cinta,Akuaippa 1. Wopu ichee süka sinta,PENDIENTE DE REVISIÓN LOCAL,,,
stakeStep1,Elige un lugar seguro y estable detrás de la zona que puede erosionarse.,Pünee wane apülee pansawaa otta ichee süchikijee mma e'iratanaka süka palaa.,PENDIENTE DE REVISIÓN LOCAL,,,
stakeStep2,Marca dos referencias A y B alineadas hacia la costa. Pueden ser estacas resistentes o elementos permanentes que no se muevan.,Paainja piama ayaawase A otta B lotaa amüin palaa. Ainkasü estaca ichee je kasa nnojotsü ee'iratawain.,PENDIENTE DE REVISIÓN LOCAL,,,
stakeStep3,Crea ese lugar en COSTA VIVA como punto permanente y fotografía las referencias A y B.,Paainja apülee tüü sulu'u COSTA VIVA müsia apülee ichee otta pünaaja ayaakua A otta B.,PENDIENTE DE REVISIÓN LOCAL,,,
